"country","HeartDiseaseRates_ASR_DALYsPer100k_2021","HeartDiseaseRates_ASR_DeathsPer100k_2021","HeartDiseaseRates_ASR_PrevalencePer100k_2021","HeartDiseaseRates_AllAgesTotalDALYs_2021","HeartDiseaseRates_AllAgesTotalDeaths_2021","HeartDiseaseRates_AllAgesTotalPrevelence_2021","HeartDiseaseRates_AllAges_DALYsPer100k_2021","HeartDiseaseRates_AllAges_DeathsPer100k_2021","HeartDiseaseRates_AllAges_PrevalencePer100k_2021"
"Antigua and Barbuda",4554.3,246.4,8610.7,4670,230,8980,5254.3,257.4,10065.4
"United States Virgin Islands",5268.6,276.5,6679,9670,494,12200,9390.4,478.5,11800.5
"Andorra",1887.6,111.8,5262,2900,193,7800,3389,223.5,9056.8
"Dominica",5301.4,281.5,7537.6,4810,261,6590,7031.7,379.8,9598.8
"Bermuda",2784.6,143.4,8489.8,3700,215,10700,5823.6,336.6,16713.3
"Greenland",4563.8,244.8,6867.3,3070,144,4770,5468.2,254.7,8429
"Saint Kitts and Nevis",5117.3,280.8,6797.2,3400,154,4740,5610.4,253.7,7782.2
"American Samoa",7544.1,337.2,7820.1,3770,148,3880,6815.8,267.7,7004.9
"Northern Mariana Islands",6419.6,291.7,7868.9,3590,134,4210,8819.8,312.9,9806.4
"Monaco",2191.5,127.4,5383,2160,155,4980,5701.8,407.2,13068.7
"Marshall Islands",12552.5,540.3,7135.1,5160,164,2810,8991.7,284.5,4879.7
"San Marino",2184.1,122.2,8478.3,1540,105,5120,4582.5,313.3,15265.9
"Palau",9155.4,408.4,6682.3,2020,73,1450,11175.2,398.9,7976.9
"Cook Islands",5232.8,245.4,6391.7,1330,63,1670,7405.2,344.9,9165.7
"Nauru",17903.8,721.7,7045.3,1040,28,326,9763.6,266.4,3066.8
"Tuvalu",11291.5,500.2,6245.4,1200,46,646,9934.7,384.7,5358.5
"Tokelau",8337.4,382.1,6179.3,119,5,90,8158.7,343.5,6018.8
"Niue",8835.4,406.2,6687.5,188,9,144,11164.5,515.1,8527.1
